Date,Ville,Température (°C),Précipitations (mm)
2024-01-01,Toronto,10.6,
2024-01-01,Vancouver,21.4,24.0
2024-01-01,Montreal,1.9,85.5
2024-01-01,Calgary,32.3,12.5
2024-01-01,Ottawa,34.3,
2024-01-01,Edmonton,-0.9,61.2
2024-01-01,Quebec City,9.0,
2024-01-01,Winnipeg,-6.3,
2024-01-01,Halifax,6.3,20.3
2024-01-01,Victoria,,3.4
2024-01-02,Toronto,23.5,15.6
2024-01-02,Vancouver,14.7,
2024-01-02,Montreal,11.5,97.5
2024-01-02,Calgary,8.4,88.7
2024-01-02,Ottawa,27.3,
2024-01-02,Edmonton,14.8,57.6
2024-01-02,Quebec City,25.4,66.0
2024-01-02,Winnipeg,-8.6,67.8
2024-01-02,Halifax,,52.8
2024-01-02,Victoria,23.6,45.1
2024-01-03,Toronto,30.7,
2024-01-03,Vancouver,-1.2,85.0
2024-01-03,Montreal,27.1,
2024-01-03,Calgary,,4.7
2024-01-03,Ottawa,10.2,26.1
2024-01-03,Edmonton,,95.5
2024-01-03,Quebec City,30.0,23.5
2024-01-03,Winnipeg,20.4,51.9
2024-01-03,Halifax,,
2024-01-03,Victoria,12.4,
2024-01-04,Toronto,26.7,92.7
2024-01-04,Vancouver,-6.0,99.4
2024-01-04,Montreal,15.5,67.3
2024-01-04,Calgary,,
2024-01-04,Ottawa,,
2024-01-04,Edmonton,,43.4
2024-01-04,Quebec City,8.0,99.1
2024-01-04,Winnipeg,7.5,
2024-01-04,Halifax,-3.1,
2024-01-04,Victoria,18.8,
2024-01-05,Toronto,29.3,
2024-01-05,Vancouver,-0.5,89.4
2024-01-05,Montreal,22.7,
2024-01-05,Calgary,-7.6,30.3
2024-01-05,Ottawa,-8.2,
2024-01-05,Edmonton,,5.4
2024-01-05,Quebec City,1.6,22.0
2024-01-05,Winnipeg,24.7,58.4
2024-01-05,Halifax,13.1,23.0
2024-01-05,Victoria,,52.3
2024-01-06,Toronto,-5.4,37.5
2024-01-06,Vancouver,-1.4,47.2
2024-01-06,Montreal,24.2,66.3
2024-01-06,Calgary,21.7,
2024-01-06,Ottawa,14.2,
2024-01-06,Edmonton,28.8,73.5
2024-01-06,Quebec City,,15.1
2024-01-06,Winnipeg,,36.5
2024-01-06,Halifax,19.3,5.0
2024-01-06,Victoria,14.3,85.9
2024-01-07,Toronto,6.2,16.8
2024-01-07,Vancouver,-4.4,11.8
2024-01-07,Montreal,-8.1,97.7
2024-01-07,Calgary,,69.4
2024-01-07,Ottawa,,
2024-01-07,Edmonton,19.6,
2024-01-07,Quebec City,22.0,67.8
2024-01-07,Winnipeg,7.3,
2024-01-07,Halifax,25.0,
2024-01-07,Victoria,3.1,30.1
2024-01-08,Toronto,27.5,99.1
2024-01-08,Vancouver,,
2024-01-08,Montreal,7.4,21.9
2024-01-08,Calgary,,35.3
2024-01-08,Ottawa,17.4,
2024-01-08,Edmonton,29.1,83.4
2024-01-08,Quebec City,24.9,36.7
2024-01-08,Winnipeg,21.8,93.7
2024-01-08,Halifax,9.4,12.4
2024-01-08,Victoria,-1.9,
2024-01-09,Toronto,-4.7,
2024-01-09,Vancouver,-4.2,15.7
2024-01-09,Montreal,32.9,
2024-01-09,Calgary,,89.9
2024-01-09,Ottawa,16.5,16.7
2024-01-09,Edmonton,-8.4,49.7
2024-01-09,Quebec City,28.3,21.7
2024-01-09,Winnipeg,,94.3
2024-01-09,Halifax,,88.6
2024-01-09,Victoria,,
2024-01-10,Toronto,-9.2,6.1
2024-01-10,Vancouver,16.5,
