ID vente,Date,Magasin,Articles,Quantité vendue,Prix unitaire,Ville
dfd273bb-7136-41dc-b36d-3d87b7429237,2023-10-09,Marché H8,Cheese,332.0,149.83,Winnipeg
3976b685-213a-4e82-9d1f-10a3c213e56e,2024-12-11,Alimentation D4,Chicken Breast,257.0,27.21,Montreal
5e1f5526-0ea4-465a-bc77-64b8fb1c369f,2024-08-25,Boutique G7,Ground Beef,131.0,72.86,Vancouver
00a8f479-517c-494f-80a8-6071f2f8ce23,2023-10-19,Marché H8,Potatoes,248.0,57.14,Toronto
68a81c72-054d-48b5-9475-831530c6ffe6,2023-10-24,Magasin F6,Frozen Pizza,355.0,67.36,Vancouver
d1706f14-01d2-453f-9ccf-4988dfddab83,2023-05-08,Épicerie I9,Rice,326.0,66.06,Calgary
9e0522e9-29a6-44ec-a864-7252453b0e7f,2023-11-23,Épicerie B2,Potatoes,308.0,144.38,Halifax
a31b5468-d07d-4796-9bbf-70f6af3dce55,2024-04-26,Alimentation D4,Frozen Pizza,371.0,174.38,Edmonton
e9010cd3-b359-4750-a4c2-6303e7337852,2024-05-24,Supermarché A1,Tea,322.0,88.27,Vancouver
f64103cf-b6d5-4618-890a-ec1bc4b128a9,2024-03-16,Alimentation D4,Yogurt,330.0,160.69,Ottawa
8fc9ce31-fce6-46e0-81fe-723abbaeb0c2,2025-01-25,Centre E5,Rice,205.0,63.06,Vancouver
63b9ae1d-0e3d-457b-b22a-d342de53b5c3,2023-10-23,Alimentation D4,Rice,272.0,84.23,Toronto
a945de29-9e98-4fac-8262-3b7480da759c,2024-06-11,Marché C3,Ice Cream,132.0,22.45,Toronto
ff797731-3168-4da9-bdb2-0cb101910e23,2023-08-20,Boutique G7,Pasta,214.0,79.84,Halifax
2a85e4ab-0eab-404e-9f21-1fd2199d05f1,2023-07-08,Marché C3,Potatoes,195.0,61.14,Ottawa
37ff223d-056d-4acc-ac6c-05f191ec9c0e,2024-03-27,Épicerie I9,Eggs,281.0,20.46,Winnipeg
f843063f-8e71-44d6-88e9-41def8cbc238,2023-03-26,Supermarché A1,Eggs,193.0,47.82,Winnipeg
2e448a33-9cc2-4c39-b771-879ed05244da,2023-04-12,Magasin F6,Frozen Pizza,271.0,76.64,Toronto
d5b37655-8fea-4e6a-8c06-7faa13e847be,2025-01-20,Alimentation D4,Tea,322.0,79.16,Ottawa
3ff14e21-4cf6-481b-88b9-e46bfeff2527,2024-02-03,Supermarché A1,Bread,283.0,64.17,Victoria
a19849e2-e42b-4453-bb8c-db483d026b1e,2025-01-22,Magasin F6,Bread,250.0,129.79,Ottawa
0aefd28d-57ea-4d44-94d8-f610d43d7074,2024-11-23,Magasin F6,Eggs,226.0,48.86,Montreal
06974414-e73e-474a-94a0-1ef67127f968,2023-10-07,Centre E5,Eggs,152.0,96.87,Vancouver
6cc0625a-14ca-4b93-8226-93acc613f456,2025-01-16,Épicerie B2,Frozen Pizza,326.0,125.94,Vancouver
c7890fa3-0b4e-426a-98bc-aace0da440f7,2024-01-11,Supermarché J0,Tea,209.0,67.42,Victoria
eabbd973-4fde-4f44-a2f9-27f03f6b0291,2024-10-18,Magasin F6,Tea,202.0,117.0,Winnipeg
65b7213e-6a87-4fae-a82f-6d840a28ccd2,2023-02-19,Centre E5,Rice,177.0,49.59,Edmonton
cb53de2b-1ed3-4e25-94a9-3b03af7c2e4b,2023-05-22,Boutique G7,Peanut Butter,307.0,167.23,Vancouver
e8e169a0-6fde-4c29-b1c2-3f500ddb057f,2024-11-30,Marché H8,Ground Beef,158.0,21.05,Calgary
76fe7dcd-d001-4c61-be75-a3c4f8f66cb8,2024-07-10,Magasin F6,Cereal,213.0,59.04,Winnipeg
d83a96d8-a265-41bb-8f0d-6c37e30c299e,2024-01-11,Épicerie B2,Milk,124.0,53.88,Montreal
daf31ff4-a464-46b3-a218-4e07d8476a5b,2023-06-13,Centre E5,Tea,214.0,27.03,Ottawa
72a16c4a-c2d8-48f2-a847-50525900da81,2024-01-01,Centre E5,Bananas,151.0,185.68,Vancouver
2575fed8-4008-4f16-8819-e6d92f98953d,2023-09-18,Centre E5,Milk,170.0,158.35,Toronto
ed386942-2baa-4a79-8e34-b5ee222cfbed,2023-12-27,Magasin F6,Ice Cream,237.0,23.26,Ottawa
3d2438dd-d8e7-4711-b1c8-791b3ecfb48c,2023-01-31,Centre E5,Peanut Butter,152.0,28.65,Ottawa
225da236-cd6b-4296-8f75-781eebe12db5,2024-06-15,Marché H8,Rice,379.0,165.21,Quebec City
e0c4d708-9bb9-4747-bc32-ea670808460d,2024-10-13,Supermarché A1,Frozen Pizza,172.0,135.63,Edmonton
689b2dbc-63f7-4bf2-b5b4-1f324ed6830d,2024-03-01,Marché H8,Rice,221.0,140.58,Halifax
524594e0-e725-48a9-9452-94cf3751c052,2023-07-19,Boutique G7,Cereal,306.0,103.01,Winnipeg
593979be-1c06-4650-bf0d-4b2db95a0e8b,2024-09-30,Supermarché J0,Orange Juice,305.0,162.56,Edmonton
90b07709-a655-442d-b850-11de9f4693e2,2023-05-14,Supermarché A1,Orange Juice,320.0,113.85,Montreal
70af86ed-fe5b-4e3f-9566-22dcd289e837,2024-12-27,Centre E5,Chicken Breast,142.0,83.85,Winnipeg
fba267a5-b76e-4fb5-9eb1-5b28a2d65132,2023-09-12,Marché C3,Rice,250.0,163.54,Ottawa
1573afad-336e-44a1-8f2c-c845fd851856,2023-07-18,Boutique G7,Orange Juice,120.0,162.05,Vancouver
0c4d3b2d-e560-4ba0-9c9b-74371b344155,2024-02-09,Magasin F6,Chicken Breast,158.0,107.33,Toronto
0e6919fa-e03e-4e78-8622-e556a5e3c229,2024-01-16,Alimentation D4,Potatoes,274.0,138.32,Montreal
c21387dd-7f68-4490-be6a-33102a9529e3,2023-08-14,Alimentation D4,Tomatoes,150.0,63.45,Toronto
be703fb7-41a6-44d3-aa04-2bb0ada34b12,2023-03-17,Magasin F6,Eggs,341.0,50.2,Ottawa
eed2f125-04ce-452f-a292-c76b12059f41,2023-11-08,Alimentation D4,Pasta,179.0,15.19,Quebec City
08e1d3a3-98cd-4a69-b16d-32e57d776f01,2024-12-06,Marché C3,Cheese,366.0,116.33,Victoria
ecd1bde1-a91d-443d-80bc-dc30cf037c2d,2023-10-27,Épicerie I9,Peanut Butter,326.0,50.79,Vancouver
6be6df0f-18a2-4a00-affa-b4f969a438da,2024-07-21,Alimentation D4,Orange Juice,203.0,56.36,Victoria
dc6bfc74-add8-4649-b87b-3ed37192438f,2023-03-02,Marché H8,Coffee,147.0,80.52,Quebec City
91b9856f-4a77-4c4d-8b18-cc71d7bde3bb,2023-03-01,Alimentation D4,Bread,237.0,113.35,Winnipeg
4ee2e9ae-cc8e-412e-9f93-beb0f28ad404,2024-09-27,Centre E5,Milk,359.0,174.5,Toronto
58f929e8-c49a-423b-bb35-7acfec3b854a,2025-01-10,Centre E5,Pasta,289.0,17.86,Montreal
00f69a6d-ba26-4fc6-8e01-d0a3e7afa005,2024-07-07,Marché H8,Milk,222.0,113.6,Winnipeg
